epoch,head,loss,lr,thorax,val_head,val_loss,val_thorax
0,0.011547867208719254,0.014675462618470192,1e-04,0.017803065478801727,0.002284127054736018,0.0035917286295443773,0.004899329971522093
1,0.0013103651581332088,0.001729605020955205,1e-04,0.0021488445345312357,0.001244138926267624,0.0019318806007504463,0.002619622042402625
2,0.0008953866199590266,0.0010988526046276093,1e-04,0.0013023189967498183,0.0014698781305924058,0.0017562287393957376,0.002042578998953104
3,0.0006698634824715555,0.0008014201885089278,1e-04,0.0009329773019999266,0.001339297741651535,0.0013986022677272558,0.0014579067938029766
4,0.0005592360394075513,0.0006421663565561175,1e-04,0.0007250968483276665,0.0013461902271956205,0.0014182527083903551,0.0014903153060004115
5,0.0004772533429786563,0.0005707460804842412,1e-04,0.0006642385851591825,0.0009139206958934665,0.0012602615170180798,0.0016066024545580149
6,0.0004173283523414284,0.0004470103303901851,1e-04,0.00047669190098531544,0.0011865035630762577,0.001102588139474392,0.0010186727158725262
7,0.0003379628760740161,0.0003662410890683532,1e-04,0.0003945195931009948,0.0009836585959419608,0.0011908311862498522,0.0013980035437271
8,0.00028551468858495355,0.0003066531498916447,1e-04,0.0003277917858213186,0.0009805916342884302,0.0012050055665895343,0.0014294196153059602
9,0.0002423790720058605,0.00024189628311432898,1e-04,0.0002414135669823736,0.000909864844288677,0.0010262352880090475,0.001142605789937079
10,0.00022297985560726374,0.00023076175421010703,1e-04,0.00023854360915720463,0.0008547778706997633,0.0009659960633143783,0.0010772142559289932
11,0.00019358577264938504,0.00020483494154177606,1e-04,0.00021608405222650617,0.0008495037327520549,0.0009425870375707746,0.001035670400597155
12,0.00016643393610138446,0.00016487464017700404,1e-04,0.00016331524238921702,0.0006074800621718168,0.0007928975974209607,0.0009783152490854263
13,0.00013258089893497527,0.00012863759184256196,1e-04,0.00012469440116547048,0.0008030665921978652,0.0010571354068815708,0.0013112040469422936
14,0.0001139041778515093,0.00011304429790470749,1e-04,0.00011218430881854147,0.0005987322074361145,0.0007229577167890966,0.0008471831679344177
15,0.00011421670933486894,0.00010873736027861014,1e-04,0.0001032580403261818,0.0007549580768682063,0.0008379494538530707,0.0009209408308379352
16,9.751843754202127e-05,9.361083357362077e-05,1e-04,8.970325870905071e-05,0.0008909659809432924,0.0009685853729024529,0.001046204473823309
17,8.663897460792214e-05,8.199190779123455e-05,1e-04,7.734487007837743e-05,0.0007230101036839187,0.0008900584653019905,0.0010571068851277232
18,7.337254646699876e-05,7.37627487978898e-05,1e-04,7.415297295665368e-05,0.0006695031188428402,0.0008328075637109578,0.0009961118921637535
19,7.04968988429755e-05,6.514659617096186e-05,1e-04,5.9796308050863445e-05,0.000837830186355859,0.0009358159149996936,0.001033801818266511
20,4.624818029697053e-05,4.323278699303046e-05,5e-05,4.021740460302681e-05,0.000649835797958076,0.0008135531097650528,0.0009772705379873514
