epoch,head,loss,lr,thorax,val_head,val_loss,val_thorax
0,0.009866989217698574,0.012371323071420193,1e-04,0.01487566065043211,0.0016270866617560387,0.0021935347467660904,0.0027599832974374294
1,0.0014791162684559822,0.002010563388466835,1e-04,0.0025420088786631823,0.001144922454841435,0.0016189655289053917,0.0020930084865540266
2,0.0009532636613585055,0.001134773250669241,1e-04,0.001316283131018281,0.0008940956322476268,0.0014304278884083033,0.001966760028153658
3,0.0007472019060514867,0.0008937085513025522,1e-04,0.0010402151383459568,0.0007154316990636289,0.0011463187402114272,0.001577206188812852
4,0.0006197633920237422,0.0007025770028121769,1e-04,0.0007853906718082726,0.0008940406260080636,0.001188968075439334,0.001483895699493587
5,0.000584959692787379,0.0006152698188088834,1e-04,0.0006455795955844223,0.0005238029407337308,0.0008575048414058983,0.0011912069749087095
6,0.0004336840065661818,0.0004438231117092073,1e-04,0.0004539618967100978,0.0006016809493303299,0.001260299002751708,0.0019189169397577643
7,0.0003404335002414882,0.00036819447996094823,1e-04,0.00039595537236891687,0.0003171974967699498,0.0005444836569949985,0.0007717697299085557
8,0.0002820285444613546,0.00029492832254618406,1e-04,0.0003078279842156917,0.00038626266177743673,0.0006832493236288428,0.000980235869064927
9,0.00025922240456566215,0.0002676763688214123,1e-04,0.00027613030397333205,0.00032858026679605246,0.0005603615427389741,0.0007921428768895566
10,0.0002444176352582872,0.0002462294069118798,1e-04,0.00024804126587696373,0.0003462827007751912,0.0005438955267891288,0.0007415084401145577
